DATA_SOURCE,Unique_Project_ID,Project_Name,Bay_Segment,Lead_Entity,Project_Activity,Project_Technology,Completion_Date,TN_Reduction_lbs_yr,ProjectLatitude,ProjectLongitude,Acres,ActualProjectCost,MAC_Notes
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0126,Little Bird Key National Wildlife Refuge,Boca Ciega Bay,USFWS,Habitat_Establishment,Oyster_Habitat,2005,,27.68555,-82.71705,NA,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0127,Little Bird Key/Boca Ceiga,Boca Ciega Bay,FDNR,Habitat_Enhancement,Mangroves,1987,,27.792967,-82.777867,0.015,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0128,Long/Cross Bayou,Boca Ciega Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1995,,27.830498,-82.75461,2,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0129,Lowry Park West Stormwater Retrofit Project,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_Stormwater_Pond,1998,168.2,28.013639,-82.467792,2,397268,checked
TBEP_APDB_1992-2016,OSS_Syn_0130,Lowry Park Zoo Stormwater Rehabilitation,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Stormwater_Pond,2002,205.2,28.013639,-82.467792,,344894,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0131,Lowry Park: Spring and Shoreline,Hillsborough Bay,SWFWMD-SWIM,Habitat_Establishment,FW_Wetlands,1992,,28.014751,-82.464601,0.5,"$18,000.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0132,MacDill Air Force Base Oyster Dome: Phase 1,Hillsborough Bay,TBW,Habitat_Establishment,Oyster_Habitat,2004,,27.83381,-82.46942,0.13,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0133,MacDill Air Force Base Oyster Dome: Phase 2,Hillsborough Bay,TBW,Habitat_Establishment,Oyster_Habitat,2007,,27.83212,-82.47026,0.17,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0134,MacDill Air Force Base Oyster Reef: Phase 1,Hillsborough Bay,TBW,Habitat_Establishment,Oyster_Habitat,2004,,27.8215,-82.4736,0.03,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0135,MacDill Air Force Base Oyster Reef: Phase 2,Hillsborough Bay,TBW,Habitat_Establishment,Oyster_Habitat,2005,,27.8298,-82.47265,0.06,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0136,MacDill Air Force Base Oyster Reef: Phase 3,Hillsborough Bay,TBW,Habitat_Establishment,Oyster_Habitat,2006,,27.82885,-82.4715,0.05,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0137,MacDill Air Force Base: Phase 1A,Hillsborough Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1994,,27.82976,-82.476617,3,"$350,000.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0138,MacDill Air Force Base: Phase 1B,Hillsborough Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1997,,27.82976,-82.473317,31.3,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0139,MacDill Air Force Base: Phase 2,Middle Tampa Bay,SWFWMD - SWIM,Habitat_Establishment,Saltmarsh,1999,,27.822205,-82.479637,32.6,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0140,Manatee Plant Cooling Pond Seepage Return Project,Middle Tampa Bay,Florida Power & Light,Nonpoint_Source,BMP_Management,1994,12951.2,27.662673,-82.215645,,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0141,Mangrove Bay Habitat Rehabilitation,Old Tampa Bay,City of St. Petersburg,Habitat_Enhancement,Exotic_Control,2003,,27.833333,-82.616667,13,"$3,050.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0142,Mangrove Bay: Phase 1,Old Tampa Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1991,,27.842593,-82.629808,13.5,"$155,125.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0143,Mangrove Bay: Phase 2,Old Tampa Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1992,,27.83979,-82.625822,0.5,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0144,Mangrove Bay: Phase 3,Old Tampa Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1998,,27.835347,-82.622798,21,NA,checked
USEPA_GPRA_2008-2017,OSS_Syn_0145,"Mangrove Restoration Phase III & IV, Sites 4 and 16",Middle Tampa Bay,MacDill AFB,Habitat_Enhancement,Hydrologic_Restoration,2017,,27.833,-82.517,17,"$378,000.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0146,Maximo Park,Boca Ciega Bay,FDNR,Habitat_Enhancement,Saltmarsh,1989,,27.710042,-82.683665,0.05,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0147,McIntosh Park Water Quality/Wetland Enhancement,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Wetland_Treatment,2009,2763,28.071189,-82.129162,,3824564,checked
TBEP_APDB_1992-2016,OSS_Syn_0148,McKay Bay (Eastshore Commerce Park) (Melbourne Pond) Drainage Basin Rehabilitation,Hillsborough Bay,Tampa Bay Water/SWFWMD,Nonpoint_Source,BMP_Wetland_Treatment,2006,880,27.962889,-82.347508,,1010000,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0149,Mckay Bay Nature Park,Hillsborough Bay,City of Tampa Parks Department,Habitat_Enhancement,Exotic_Control,1996?,,27.949402,-82.418145,5,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0150,McKay Bay Northeast,Hillsborough Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1991,,27.95212,-82.411395,4,"$116,775.00 ",checked
TBEP_APDB_1992-2016,OSS_Syn_0151,McKay Bay-East Shore Commerce Park Parcel Stormwater Retrofit,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Treatment_Train,2006,2296.4,27.962889,-82.347508,,1472883,checked
TBEP_APDB_1992-2016,OSS_Syn_0152,MiraBay Property,Hillsborough Bay,Hillsborough County,Nonpoint_Source,BMP_Wetland_Treatment,1999,1340.5,27.748674,-82.429575,,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0153,MLKing Ph 2 at 83 Ave N,Old Tampa Bay,City of St. Petersburg,Nonpoint_Source,BMP_Baffle_Box,2015,130.7,27.847697,-82.647039,,,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0154,Mobbly Bayou Wilderness Preserve North Addition,Old Tampa Bay,Pinellas County,Habitat_Enhancement,Exotic_Control,2006,,28.026143,-82.662079,5,"$213,000.00 ",checked
TBEP_APDB_1992-2016,OSS_Syn_0155,Mobbly Bayou Wilderness Preserve Restoration,Old Tampa Bay,Pinellas County,Habitat_Enhancement,Exotic_Control,2009,NA,28.012172,-82.609611,,2140839,checked
TBEP_APDB_1992-2016,OSS_Syn_0156,Moody Branch Land Acquisition,Middle Tampa Bay,Manatee County,Habitat_Protection,Acquisition,2003,2695,27.662673,-82.215645,,6000000,checked
TBEP_APDB_1992-2016,OSS_Syn_0157,Mosaic Riverview Closed Stack Lined Surge Ponds,Hillsborough Bay,Mosaic,Point_Source,Management,2004,3400,27.863575,-82.385047,,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0158,Mullet Key,Lower Tampa Bay,FDNR,Habitat_Establishment,Mangroves,1973,,27.647553,-82.715219,0.03,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0159,Neal Preserve,Lower Tampa Bay,Manatee County,Habitat_Protection,Acquisition,2005,409,27.492947,-82.685755,,9000000,checked
TBEP_APDB_1992-2016,OSS_Syn_0160,New Stormwater Retrofit 2004,Hillsborough Bay,Kinder-Morgan/Pakhoed Dry Bulk Terminals,Point_Source,BMP_On_Site,2005,2720,27.900782,-82.417799,,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0161,North Parcel East A,Hillsborough Bay,Mosaic,Habitat_Enhancement,Hydrologic_Restoration,2005,,27.889773,-82.398876,12.8,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0162,North Parcel West A,Hillsborough Bay,Mosaic,Habitat_Enhancement,Exotic_Control,2004,,27.889939,-82.403398,123.9,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0163,North Parcel West B,Hillsborough Bay,Mosaic,Habitat_Enhancement,Exotic_Control,2005,,27.881813,-82.39783,123.9,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0164,North Sunshine Skyway,Boca Ciega Bay,FDNR,Habitat_Enhancement,Saltmarsh,1988,,27.70147,-82.678273,0.05,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0165,Northwest and River Oaks Reclaimed,Hillsborough Bay,Hillsborough County,Point_Source,Increase_Reuse,1995,6472,28.084615,-82.605692,,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0166,Onsite Stormwater Management System,Hillsborough Bay,Kinder-Morgan/Pakhoed Dry Bulk Terminals,Point_Source,BMP_On_Site,1998,13882,27.900782,-82.417799,,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0167,"Outfall from SR 580 to Sweetwater Creek Canal ""C"" Suntree baffle box retrofit",Old Tampa Bay,FDOT,Nonpoint_Source,BMP_Baffle_Box,2005,34,28.012172,-82.609611,,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0168,Palm River,Hillsborough Bay,FDNR,Habitat_Establishment,Mangroves,1979,,27.941669,-82.408085,0.17,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0169,Palmetto Estuary,Manatee River,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,2000,,27.511605,-82.564149,30,"$267,918.00 ",checked
USEPA_GPRA_2008-2017,OSS_Syn_0170,Palmetto Estuary Phase 2A,Manatee River,SWFWMD,Habitat_Establishment,Uplands,2017,,27.514,-82.564,0.32,"$99,498.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0171,Peanut Lake,Middle Tampa Bay,FDEP,Habitat_Establishment,Saltmarsh,1993,,27.622965,-82.556267,10,"$266,406.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0172,Peanut Lake Rotary Ditching,Middle Tampa Bay,FDER,Habitat_Enhancement,Hydrologic_Restoration,1987,,27.623001,-82.561741,100,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0173,Perico Preserve,Lower Tampa Bay,Manatee County,Habitat_Protection,Acquisition,2007,NA,27.50125472,-82.67930833,,4132590,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0174,Picnic Island,Old Tampa Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1993,,27.852878,-82.5527,8,"$259,076.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0175,Pinellas Point,Lower Tampa Bay,FDNR,Habitat_Enhancement,Saltmarsh,1986,,27.700178,-82.652524,0.04,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0176,Pinellas Point,Lower Tampa Bay,FDNR,Habitat_Establishment,Mangroves,1988,,27.700178,-82.652524,0.05,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0177,Pinellas Point Seagrass Restoration Study,Middle Tampa Bay,USF,Habitat_Enhancement,Seagrass_Habitat,2003,,27.7029,-82.6356,0.07,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0178,Pistol Range Stormwater Retrofit Project,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Stormwater_Pond,2000,2103.3,28.039363,-82.13978,,649810,checked
TBEP_APDB_1992-2016,OSS_Syn_0179,Plant City Phosphate Complex -  Process Water Balance Improvements -  Prevention Project 1,Hillsborough Bay,Mosaic,Point_Source,PS_Treatment,1999,6000,28.160614,-82.153796,,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0180,Plant City Phosphate Complex -  Process Water Balance Improvements -  Prevention Project 2,Hillsborough Bay,Mosaic,Point_Source,PS_Treatment,2004,6000,28.160614,-82.153796,,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0181,Port Manatee (SR 92),Middle Tampa Bay,FDNR,Habitat_Enhancement,Saltmarsh,1987,,27.634717,-82.57302,0.05,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0182,Port Manatee Parcel Restoration Project,Middle Tampa Bay,TECO,Habitat_Enhancement,Exotic_Control,1992,,27.634717,-82.57302,700,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0183,Port Redwing - Land Acquisition,Hillsborough Bay,Hillsborough County,Habitat_Protection,Acquisition,1995,NA,27.86714745,-82.35780285,,750000,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0184,Rattlesnake Key (SR 96),Terra Ceia Bay,FDNR,Habitat_Enhancement,Saltmarsh,1987,,27.579701,-82.608605,0.05,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0185,Red Maple Swamp (Allen's Creek),Old Tampa Bay,City of Clearwater,Habitat_Establishment,FW_Wetlands,2001,,27.95023,-82.751223,8.2,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0186,Regatta Point,Manatee River,FDNR,Habitat_Establishment,Mangroves,1986,,27.51181,-82.576338,0.03,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0187,Ribbon of Green,Hillsborough Bay,SWFWMD-SWIM,Habitat_Establishment,FW_Wetlands,2006,,27.94235,-82.45809,0.62,"$71,826.00 ",checked
TBEP_APDB_1992-2016,OSS_Syn_0188,River Tower Park Site Acquisition,Hillsborough Bay,City of Tampa,Habitat_Protection,Acquisition,2002,NA,28.021363,-82.457406,,285000,checked
TBEP_APDB_1992-2016,OSS_Syn_0189,Rivergarden Park Sediment Traps,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_CDS_Unit,2007,1.7,27.973438,-82.4806909,,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0190,"Robinson Preserve Restoration Project, Low Marsh",Lower Tampa Bay,Manatee County,Habitat_Establishment,Saltmarsh,2007,,27.511447,-82.669565,147,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0191,Sediment Trap NSBB: N Park Circle,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_CDS_Unit,2009,3.7,28.0130837,-82.4414387,,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0192,Sediment Trap: 30th and Corrine,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_CDS_Unit,1998,4.4,27.9490062,-82.42654093,,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0193,Sediment Trap: 46th and Riverhills,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_CDS_Unit,2008,2.2,28.02199831,-82.41004183,,348000,checked
TBEP_APDB_1992-2016,OSS_Syn_0194,Sediment Trap: Epps Park,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_CDS_Unit,2003,2.5,28.00727349,-82.46417885,,120000,checked
TBEP_APDB_1992-2016,OSS_Syn_0195,Sediment Trap: Lake Kipling Project #1,Old Tampa Bay,City of Tampa,Nonpoint_Source,BMP_CDS_Unit,2005,10.4,27.92164991,-82.52332531,,355000,checked
TBEP_APDB_1992-2016,OSS_Syn_0196,Sediment Trap: Lake Roberta Downstream Defender unit,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_CDS_Unit,2005,5.1,28.00057518,-82.45089214,,146000,checked
TBEP_APDB_1992-2016,OSS_Syn_0197,Sediment Trap: Marjorie Park Marina,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_CDS_Unit,2005,NA,27.92984072,-82.45563837,,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0198,Sediment Trap: Neptune Way Canal,Old Tampa Bay,City of Tampa,Nonpoint_Source,BMP_CDS_Unit,2003,2.7,27.94135476,-82.52529097,,76000,checked
TBEP_APDB_1992-2016,OSS_Syn_0199,Sediment Trap: North Street Outfall,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_CDS_Unit,2003,3.2,28.00542371,-82.4648599,,207000,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0200,Shell Key Australian Pine Removal,Boca Ciega Bay,PCDEM,Habitat_Enhancement,Exotic_Control,2006,,27.665089,-82.744016,4,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0201,Shore Acres,Middle Tampa Bay,FDNR,Habitat_Establishment,Seagrass_Habitat,1988,,27.793232,-82.606084,0.1,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0202,South Bayshore Boulevard,Hillsborough Bay,SWFWM- SWIM,Habitat_Establishment,Mangroves,1990,,27.874716,-82.486776,1.5,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0203,South Skyway,Middle Tampa Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1999,,27.584024,-82.599459,3,"$30,000.00 ",checked
TBEP_APDB_1992-2016,OSS_Syn_0204,South Tampa Greenway/Tappan Habitat Restoration Site,Hillsborough Bay,SWFWMD,Habitat_Protection,Acquisition,2004,NA,27.86109007,-82.53022555,,492861,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0205,Spoil Island Boca Ciega Bay Salt Marsh Restoration,Boca Ciega Bay,TBW,Habitat_Enhancement,Saltmarsh,2000,,27.816,-82.7981,1,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0206,Spoil Island CMDA-2D,Hillsborough Bay,TPA,Habitat_Enhancement,Saltmarsh,1985,,27.873951,-82.431234,10,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0207,Street Sweeping - Middle Tampa Bay,Middle Tampa Bay,City of St. Petersburg,Nonpoint_Source,Street_Sweeping,2007,500,27.768925,-82.642078,,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0208,Sweetwater (Borrow Pit Mitigation),Old Tampa Bay,Hillsborough County,Habitat_Establishment,FW_Wetlands,1997,,28.021257,-82.549148,1.265,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0209,Sweetwater (Casey Road (Area East) Mitigation),Old Tampa Bay,Hillsborough County,Habitat_Establishment,FW_Wetlands,1998,,28.042935,-82.514063,0.55,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0210,Sweetwater (Raintree Oaks Phase II Mitigation),Old Tampa Bay,Hillsborough County,Habitat_Establishment,FW_Wetlands,1998,,28.059178,-82.384168,0.4,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0211,Sweetwater (Sligh Avenue Mitigation),Hillsborough Bay,Hillsborough County,Habitat_Establishment,FW_Wetlands,1994,,28.010131,-82.511514,1.925,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0212,Sweetwater (Westlake Mitigation),Old Tampa Bay,Hillsborough County,Habitat_Establishment,FW_Wetlands,1997,,28.066195,-82.48348,0.405,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0213,Tampa Bay Oil Spill - Boca Ciega Bay (Cross Bayou Mangrove Restoration),Boca Ciega Bay,NOAA,Habitat_Establishment,Mangroves,1999,,27.835,-82.76,4.8,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0214,Tampa Bay Oil Spill - Eleanor Island Emergency Stabilization (Oyster Restoration),Boca Ciega Bay,NOAA?,Habitat_Enhancement,Oyster_Habitat,1996,,27.7867,-82.7754,0.18,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0215,Tampa Bay Oil Spill - Ft. DeSoto Dune Restoration,Lower Tampa Bay,Pinellas County,Habitat_Protection,Protection_Management,2006,,27.6195,-82.7198,1.8,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0216,Tampa Bay Oil Spill - Pinellas County (War Veterans Memorial Park Oyster Reef),Boca Ciega Bay,Pinellas County,Habitat_Establishment,Oyster_Habitat,2005,,27.8017,-82.7756,0.4,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0217,Tampa Bay Oil Spill - Treasure Island Dune Vegetation Restoration,Boca Ciega Bay,unknown,Habitat_Protection,Protection_Management,2005,,27.755,-82.7649,0.9,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0218,Tampa Bay Water Regional Surface Water Treatment Plant,Hillsborough Bay,Tampa Bay Water,Nonpoint_Source,Send_to_WWTP,2003,151760,27.9607937,-82.34500766,,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0219,Tampa Bypass (Animal Services Mitigation),Hillsborough Bay,Hillsborough County,Habitat_Establishment,FW_Wetlands,1997,,27.956384,-82.338128,0.6,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0220,Tampa Bypass (Davis Park Mitigation),Hillsborough Bay,Hillsborough County,Habitat_Establishment,FW_Wetlands,2004,,27.946404,-82.291887,0.09,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0221,Tappan  Site,Old Tampa Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,2003,,27.869478,-82.533754,17,"$492,861.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0222,Tarpon Key National Wildlife Refuge,Boca Ciega Bay,USFWS,Habitat_Establishment,Oyster_Habitat,2006,,27.66535,-82.6951,NA,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0223,Tarpon Key Salt Marsh Restoration,Boca Ciega Bay,USFWS,Habitat_Establishment,Saltmarsh,2002,,27.665612,-82.691069,2.5,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0224,Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 1,Terra Ceia Bay,SWFWMD-SWIM,Habitat_Enhancement,Exotic_Control,2002,,27.597167,-82.547546,121.3,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0225,Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 2,Terra Ceia Bay,SWFWMD-SWIM,Habitat_Enhancement,Exotic_Control,2002,,27.587675,-82.568899,28,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0226,Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 3,Terra Ceia Bay,SWFWMD-SWIM,Habitat_Enhancement,Exotic_Control,2006,,27.587675,-82.568899,217,"$683,110.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0227,Terra Ceia Bird Key,Terra Ceia Bay,FDNR,Habitat_Establishment,Mangroves,1972,,27.616326,-82.565627,0.003,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0228,Terra Ceia Bird Key - Nina Griffith Washburn Bird Sanctuary,Terra Ceia Bay,NAS,Habitat_Establishment,Mangroves,1990,,27.552333,-82.600119,0.1,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0229,Terra Ceia Causeway,Terra Ceia Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1994,,27.568731,-82.571038,2.2,"$31,510.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0230,Upper Tampa Bay Park,Old Tampa Bay,Hillsborough County Parks & Recreation,Habitat_Enhancement,Exotic_Control,2005,,28.016907,-82.6324,75,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0231,Urban Lake Rescue -  Lake Kipling,Old Tampa Bay,City of Tampa,Nonpoint_Source,BMP_Management,2010,NA,27.921627,-82.524016,,1129765,checked
TBEP_APDB_1992-2016,OSS_Syn_0232,Urban Lake Rescue -  Lake Roberta,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_Management,2010,31.1,28.00111631,-82.44902588,,1113832,checked
TBEP_APDB_1992-2016,OSS_Syn_0233,Van Dyke Reclaimed,Hillsborough Bay,Hillsborough County,Point_Source,Increase_Reuse,1995,3052.7,28.14314,-82.546069,,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0234,Vinoy Basin Northeast,Middle Tampa Bay,TBW,Habitat_Establishment,Oyster_Habitat,2003,,27.77751,-82.62885,NA,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0235,War Vets Oyster Bar Restoration,Boca Ciega Bay,Pinellas County,Habitat_Establishment,Oyster_Habitat,2005,,27.804005,-82.771483,1,"$356,000.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0236,Weedon Island,Old Tampa Bay,SWFWMD-SWIM,Habitat_Enhancement,Saltmarsh,1998,,27.846975,-82.609493,0.1,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0237,Weedon Island Exotic Removal and Saltern Restoration,Old Tampa Bay,Pinellas County,Habitat_Enhancement,Exotic_Control,2005,,27.846975,-82.609475,11,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0238,Weedon Island Exotic Removal and Saltern Restoration,Old Tampa Bay,Pinellas County,Habitat_Enhancement,Hydrologic_Restoration,2005,,27.846975,-82.609475,11,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0239,Weedon Island Preserve Exotic Plant Removal,Old Tampa Bay,Pinellas County,Habitat_Enhancement,Exotic_Control,2004,,27.846975,-82.609493,30,"$34,700.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0240,Whiskey Stump Key,Hillsborough Bay,NAS,Habitat_Establishment,Mangroves,1990,,27.813016,-82.402467,0.5,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0241,Whiskey Stump Key 1,Hillsborough Bay,AOF,Habitat_Establishment,Oyster_Habitat,2002,,27.814882,-82.40195,0.1,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0242,Whiskey Stump Key 2,Hillsborough Bay,AOF,Habitat_Establishment,Oyster_Habitat,2005,,27.81335,-82.40235,0.5,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0243,Whiskey Stump Key Salt Marsh Restoration,Hillsborough Bay,AOF,Habitat_Establishment,Mangroves,2002,,27.8142,-82.4019,0.01,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0244,Williams Park Salt Marsh Planting,Hillsborough Bay,Hillsborough County Parks & Recreation,Habitat_Establishment,Mangroves,2004,,27.8609,-82.3851,0.01,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0245,Wolf Branch Creek 1,Middle Tampa Bay,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,2001,,27.741949,-82.440722,181,"$3,126,000.00 ",checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0246,Wolf Branch Creek 2,Middle Tampa Bay,SWFWMD-SWIM,Habitat_Enhancement,Hydrologic_Restoration,2001,,27.746511,-82.446975,134,NA,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0247,Wolf Branch Creek Uplands,Middle Tampa Bay,SWFWMD-SWIM,Habitat_Establishment,FW_Wetlands,2004,,27.746904,-82.436726,281,"$505,000.00 ",checked
TBEP_APDB_1992-2016,OSS_Syn_0248,Bear Creek Channel Improvements Phase II,Boca Ciega Bay,Pinellas County,Habitat_Enhancement,Hydrologic_Restoration,2012,NA,27.764665,-82.717904,,,creek mid point
TBEP_APDB_1992-2016,OSS_Syn_0249,Bear Creek Channel Improvements Phase III,Boca Ciega Bay,Pinellas County,Nonpoint_Source,BMP_Management,2012,NA,27.764665,-82.717904,,,creek mid point
